2022-09-25 19:01:54,179 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-09-25 19:01:54,179 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1366, H: 768
2022-09-25 19:01:54,184 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-09-25 19:01:54,556 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2022-09-25 19:01:54,595 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2022-09-25 19:01:54,779 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2022-09-25 19:01:54,908 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2022-09-25 19:01:55,024 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2022-09-25 19:01:55,218 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2022-09-25 19:01:56,162 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2022-09-25 19:01:56,661 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2022-09-25 19:01:56,813 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2022-09-25 19:01:56,952 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2022-09-25 19:01:57,544 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2022-09-25 19:01:58,031 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2022-09-25 19:01:58,530 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2022-09-25 19:01:58,550 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2022-09-25 19:01:58,577 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2022-09-25 19:01:58,606 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2022-09-25 19:01:58,644 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2022-09-25 19:01:58,675 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2022-09-25 19:01:58,706 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2022-09-25 19:01:58,743 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2022-09-25 19:01:58,764 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2022-09-25 19:01:58,794 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-09-25 19:02:00,468 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2022-09-25 19:02:00,589 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2022-09-25 19:02:00,729 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2022-09-25 19:02:00,912 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2022-09-25 19:02:01,085 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2022-09-25 19:02:02,257 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2022-09-25 19:02:02,759 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2022-09-25 19:02:02,790 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2022-09-25 19:02:02,830 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2022-09-25 19:02:02,844 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-09-25 19:02:03,056 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2022-09-25 19:02:03,477 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2022-09-25 19:02:03,752 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2022-09-25 19:02:03,872 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2022-09-25 19:02:04,352 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2022-09-25 20:44:48,914 | INFO | ulauncher.search.apps.app_watcher: _remove_file() | App was removed (/usr/share/applications/org.gnome.Terminal.desktop)
